id,cd_estab,nm_ab_cliente,nr_nota_fis,nr_pedido,ds_ord_compra,ds_placa,ds_transp,nr_lacre,dt_hr_chegada,dt_hr_ini_carga,dt_hr_fim_carga,ds_obs_carga,id_no_show,vl_fixo,vl_base_multa,vl_multa,dt_hr_liberacao,usr_atlz_id,ds_get_status_lib,ds_status_cheg,dt_atlz
476,JAG,FFJDI,20703,299936,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
479,JAG,FFJDI,20704,299937,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
481,JAG,FFJDI,20705,299938,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
482,JAG,CDGPA,20683,22279590903,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
483,JAG,CCONF,20718,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
491,JAG,CCONF,20719,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
493,JAG,CDJAC,20720,902769,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
497,JAG,CR053,20721,911488,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
501,JAG,JDITA,20722,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
502,JAG,JDITA,20723,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
507,JAG,JDSTP,20724,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
508,JAG,JDSTP,20725,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
510,JAG,SBWAY,20726,902762,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
512,JAG,SBWAY,20727,902763,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
517,JAG,FFJDI,20728,299939,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
523,JAG,FFJDI,20729,299940,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
525,JAG,FFJDI,20730,299942,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
528,JAG,FFJDI,20731,299941,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
530,JAG,CDJAC,20740,902770,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
532,JAG,SBWAY,20742,902766,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
534,JAG,SBWAY,20743,902765,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
538,JAG,BCDRB,20739,911486,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
539,JAG,JCBOB,20741,907269,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
543,JAG,FFJDI,20744,299945,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
547,JAG,FFJDI,20745,299944,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
552,JAG,FFJDI,20746,299943,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
554,JAG,FFJDI,20747,299946,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
556,JAG,SBWRB,20762,911543,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
558,JAG,CDJAC,20760,902771,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
560,JAG,CDJAC,20761,902772,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
566,JAG,FFJDI,20763,299947,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
570,JAG,FFJDI,20764,299949,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
572,JAG,FFJDI,20765,299950,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
578,JAG,FFJDI,20766,299948,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
580,JAG,CDJAC,20784,902773,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
582,JAG,SBWNE,20785,902760,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
587,JAG,FFJDI,20788,299951,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
