id,cd_estab,nm_ab_cliente,nr_nota_fis,dt_saida,hr_grade,cd_produto,un_embalagem,qt_embalagem,qt_pilha,qt_carregada,qt_falta,id_motivo,qt_pallet,vl_base_multa,vl_multa,usr_atlz_id,base_id,dt_atlz
172,JAG,FFJDI,20523,,4:00,503500064,CX,104,0/104,0,0,,0,0,0,1,172,2016-10-30 16:04:30
173,JAG,FFJDI,20524,,16:00,503500064,CX,28,0/28,0,0,,0,0,0,1,177,2016-10-30 16:04:30
174,JAG,FFJDI,20524,,16:00,503500065,CX,24,0/24,0,0,,0,0,0,1,177,2016-10-30 16:04:30
175,JAG,FFJDI,20524,,16:00,503500066,CX,4,0/4,0,0,,0,0,0,1,177,2016-10-30 16:04:30
176,JAG,FFJDI,20524,,16:00,503500028,CX,28,0/28,0,0,,0,0,0,1,177,2016-10-30 16:04:30
177,JAG,FFJDI,20524,,16:00,503500023,CX,20,0/20,0,0,,0,0,0,1,177,2016-10-30 16:04:30
178,JAG,CDJAC,20542,,19:00,563700001,CX,6,0/6,0,0,,0,0,0,1,179,2016-10-30 16:04:30
179,JAG,CDJAC,20542,,19:00,563700002,CX,20,0/20,0,0,,0,0,0,1,179,2016-10-30 16:04:30
180,JAG,CDJAC,20543,,21:00,563700001,CX,6,0/6,0,0,,0,0,0,1,181,2016-10-30 16:04:30
181,JAG,CDJAC,20543,,21:00,563700002,CX,20,0/20,0,0,,0,0,0,1,181,2016-10-30 16:04:30
182,JAG,CR053,20544,,1:00,503500073,CX,7,0/7,0,0,,0,0,0,1,184,2016-10-30 16:04:30
183,JAG,CR053,20544,,1:00,503500077,CX,168,0/168,0,0,,0,0,0,1,184,2016-10-30 16:04:30
184,JAG,CR053,20544,,1:00,503500071,CX,3,0/3,0,0,,0,0,0,1,184,2016-10-30 16:04:30
185,JAG,WMART,20548,,5:00,503500138,CX,1,35/1,0,0,,0,0,0,1,192,2016-10-30 16:04:30
186,JAG,WMART,20548,,5:00,503500135,CX,0,33/0,0,0,,0,0,0,1,192,2016-10-30 16:04:30
187,JAG,WMART,20548,,5:00,503500141,CX,2,7/2,0,0,,0,0,0,1,192,2016-10-30 16:04:30
188,JAG,WMART,20548,,5:00,503500142,CX,2,16/2,0,0,,0,0,0,1,192,2016-10-30 16:04:30
189,JAG,WMART,20548,,5:00,503500136,CX,4,28/4,0,0,,0,0,0,1,192,2016-10-30 16:04:30
190,JAG,WMART,20548,,5:00,503500140,CX,3,19/3,0,0,,0,0,0,1,192,2016-10-30 16:04:30
191,JAG,WMART,20548,,5:00,503500137,CX,2,10/2,0,0,,0,0,0,1,192,2016-10-30 16:04:30
192,JAG,WMART,20548,,5:00,503500139,CX,0,17/0,0,0,,0,0,0,1,192,2016-10-30 16:04:30
193,JAG,CCONF,20541,,10:00,503500103,CX,1,0/1,0,0,,0,0,0,1,200,2016-10-30 16:04:30
194,JAG,CCONF,20541,,10:00,503500111,CX,12,0/12,0,0,,0,0,0,1,200,2016-10-30 16:04:30
195,JAG,CCONF,20541,,10:00,503500145,CX,1,0/1,0,0,,0,0,0,1,200,2016-10-30 16:04:30
196,JAG,CCONF,20541,,10:00,503500105,CX,4,0/4,0,0,,0,0,0,1,200,2016-10-30 16:04:30
197,JAG,CCONF,20541,,10:00,503500093,CX,2,0/2,0,0,,0,0,0,1,200,2016-10-30 16:04:30
198,JAG,CCONF,20541,,10:00,503500046,CX,4,0/4,0,0,,0,0,0,1,200,2016-10-30 16:04:30
199,JAG,CCONF,20541,,10:00,503500027,CX,4,0/4,0,0,,0,0,0,1,200,2016-10-30 16:04:30
200,JAG,CCONF,20541,,10:00,503500045,CX,12,0/12,0,0,,0,0,0,1,200,2016-10-30 16:04:30
201,JAG,WMART,20539,,5:00,503500099,CX,2,15/2,0,0,,0,0,0,1,206,2016-10-30 16:04:30
202,JAG,WMART,20539,,5:00,503500092,CX,2,0/2,0,0,,0,0,0,1,206,2016-10-30 16:04:30
203,JAG,WMART,20539,,5:00,503500096,CX,2,20/2,0,0,,0,0,0,1,206,2016-10-30 16:04:30
204,JAG,WMART,20539,,5:00,503500101,CX,2,0/2,0,0,,0,0,0,1,206,2016-10-30 16:04:30
205,JAG,WMART,20539,,5:00,503500098,CX,2,28/2,0,0,,0,0,0,1,206,2016-10-30 16:04:30
206,JAG,WMART,20539,,5:00,503500093,CX,3,0/3,0,0,,0,0,0,1,206,2016-10-30 16:04:30
207,JAG,FFJDI,20545,,4:00,503500063,CX,16,0/16,0,0,,0,0,0,1,211,2016-10-30 16:04:30
208,JAG,FFJDI,20545,,4:00,503500064,CX,56,0/56,0,0,,0,0,0,1,211,2016-10-30 16:04:30
209,JAG,FFJDI,20545,,4:00,503500065,CX,12,0/12,0,0,,0,0,0,1,211,2016-10-30 16:04:30
210,JAG,FFJDI,20545,,4:00,503500066,CX,8,0/8,0,0,,0,0,0,1,211,2016-10-30 16:04:30
211,JAG,FFJDI,20545,,4:00,503500023,CX,12,0/12,0,0,,0,0,0,1,211,2016-10-30 16:04:30
212,JAG,FFJDI,20546,,11:00,503500064,CX,84,0/84,0,0,,0,0,0,1,214,2016-10-30 16:04:30
213,JAG,FFJDI,20546,,11:00,503500065,CX,4,0/4,0,0,,0,0,0,1,214,2016-10-30 16:04:30
214,JAG,FFJDI,20546,,11:00,503500023,CX,16,0/16,0,0,,0,0,0,1,214,2016-10-30 16:04:30
215,JAG,FFJDI,20547,,16:00,503500063,CX,8,0/8,0,0,,0,0,0,1,218,2016-10-30 16:04:30
216,JAG,FFJDI,20547,,16:00,503500064,CX,76,0/76,0,0,,0,0,0,1,218,2016-10-30 16:04:30
217,JAG,FFJDI,20547,,16:00,503500065,CX,4,0/4,0,0,,0,0,0,1,218,2016-10-30 16:04:30
218,JAG,FFJDI,20547,,16:00,503500028,CX,16,0/16,0,0,,0,0,0,1,218,2016-10-30 16:04:30
219,JAG,CDJAC,20561,,19:00,563700001,CX,22,0/22,0,0,,0,0,0,1,220,2016-10-30 16:04:30
220,JAG,CDJAC,20561,,19:00,563700002,CX,4,0/4,0,0,,0,0,0,1,220,2016-10-30 16:04:30
221,JAG,FFJDI,20563,,4:00,503500063,CX,20,0/20,0,0,,0,0,0,1,224,2016-10-30 16:04:30
222,JAG,FFJDI,20563,,4:00,503500064,CX,68,0/68,0,0,,0,0,0,1,224,2016-10-30 16:04:30
223,JAG,FFJDI,20563,,4:00,503500065,CX,8,0/8,0,0,,0,0,0,1,224,2016-10-30 16:04:30
224,JAG,FFJDI,20563,,4:00,503500023,CX,8,0/8,0,0,,0,0,0,1,224,2016-10-30 16:04:30
225,JAG,FFJDI,20562,,22:00,503500063,CX,20,0/20,0,0,,0,0,0,1,228,2016-10-30 16:04:30
226,JAG,FFJDI,20562,,22:00,503500064,CX,60,0/60,0,0,,0,0,0,1,228,2016-10-30 16:04:30
227,JAG,FFJDI,20562,,22:00,503500065,CX,12,0/12,0,0,,0,0,0,1,228,2016-10-30 16:04:30
228,JAG,FFJDI,20562,,22:00,503500023,CX,12,0/12,0,0,,0,0,0,1,228,2016-10-30 16:04:30
229,JAG,FFJDI,20568,,16:00,503500063,CX,40,0/40,0,0,,0,0,0,1,232,2016-10-30 16:04:30
230,JAG,FFJDI,20568,,16:00,503500064,CX,36,0/36,0,0,,0,0,0,1,232,2016-10-30 16:04:30
231,JAG,FFJDI,20568,,16:00,503500065,CX,20,0/20,0,0,,0,0,0,1,232,2016-10-30 16:04:30
232,JAG,FFJDI,20568,,16:00,503500023,CX,8,0/8,0,0,,0,0,0,1,232,2016-10-30 16:04:30
233,JAG,FFJDI,20569,,11:00,503500063,CX,80,0/80,0,0,,0,0,0,1,234,2016-10-30 16:04:30
234,JAG,FFJDI,20569,,11:00,503500064,CX,24,0/24,0,0,,0,0,0,1,234,2016-10-30 16:04:30
235,JAG,FFJDI,20570,,4:00,503500064,CX,104,0/104,0,0,,0,0,0,1,235,2016-10-30 16:04:30
236,JAG,FFJDI,20571,,22:00,503500064,CX,72,0/72,0,0,,0,0,0,1,238,2016-10-30 16:04:30
237,JAG,FFJDI,20571,,22:00,503500065,CX,20,0/20,0,0,,0,0,0,1,238,2016-10-30 16:04:30
238,JAG,FFJDI,20571,,22:00,503500023,CX,12,0/12,0,0,,0,0,0,1,238,2016-10-30 16:04:30
239,JAG,CR053,20566,,1:00,503500073,CX,21,0/21,0,0,,0,0,0,1,242,2016-10-30 16:04:30
240,JAG,CR053,20566,,1:00,503500077,CX,35,0/35,0,0,,0,0,0,1,242,2016-10-30 16:04:30
241,JAG,CR053,20566,,1:00,503500083,CX,77,0/77,0,0,,0,0,0,1,242,2016-10-30 16:04:30
242,JAG,CR053,20566,,1:00,503500071,CX,9,0/9,0,0,,0,0,0,1,242,2016-10-30 16:04:30
243,JAG,CR056,20567,,3:00,503500077,CX,168,0/168,0,0,,0,0,0,1,244,2016-10-30 16:04:30
244,JAG,CR056,20567,,3:00,503500071,CX,4,0/4,0,0,,0,0,0,1,244,2016-10-30 16:04:30
245,JAG,JCBOB,20572,,3:00,503500073,CX,14,0/14,0,0,,0,0,0,1,250,2016-10-30 16:04:30
246,JAG,JCBOB,20572,,3:00,503500077,CX,140,0/140,0,0,,0,0,0,1,250,2016-10-30 16:04:30
247,JAG,JCBOB,20572,,3:00,503500079,CX,7,0/7,0,0,,0,0,0,1,250,2016-10-30 16:04:30
248,JAG,JCBOB,20572,,3:00,503500083,CX,7,0/7,0,0,,0,0,0,1,250,2016-10-30 16:04:30
249,JAG,JCBOB,20572,,3:00,503500071,CX,2,0/2,0,0,,0,0,0,1,250,2016-10-30 16:04:30
250,JAG,JCBOB,20572,,3:00,503500107,CX,2,0/2,0,0,,0,0,0,1,250,2016-10-30 16:04:30
251,JAG,JCBOB,20573,,9:00,503500077,CX,189,0/189,0,0,,0,0,0,1,251,2016-10-30 16:04:30
252,JAG,SBWAY,20574,,21:00,563700001,CX,6,0/6,0,0,,0,0,0,1,253,2016-10-30 16:04:30
253,JAG,SBWAY,20574,,21:00,563700002,CX,20,0/20,0,0,,0,0,0,1,253,2016-10-30 16:04:30
254,JAG,SBWRB,20575,,23:00,563700001,CX,6,0/6,0,0,,0,0,0,1,255,2016-10-30 16:04:30
255,JAG,SBWRB,20575,,23:00,563700002,CX,20,0/20,0,0,,0,0,0,1,255,2016-10-30 16:04:30
256,JAG,CDGPA,20537,,3:00,503500151,CX,6,0/6,0,0,,0,0,0,1,258,2016-10-30 16:04:30
257,JAG,CDGPA,20537,,3:00,503500184,CX,5,0/5,0,0,,0,0,0,1,258,2016-10-30 16:04:30
258,JAG,CDGPA,20537,,3:00,503500150,CX,5,0/5,0,0,,0,0,0,1,258,2016-10-30 16:04:30
259,JAG,WALRS,20586,,5:00,503500138,CX,2,0/2,0,0,,0,0,0,1,265,2016-10-30 16:04:30
260,JAG,WALRS,20586,,5:00,503500141,CX,2,0/2,0,0,,0,0,0,1,265,2016-10-30 16:04:30
261,JAG,WALRS,20586,,5:00,503500142,CX,3,0/3,0,0,,0,0,0,1,265,2016-10-30 16:04:30
262,JAG,WALRS,20586,,5:00,503500136,CX,3,0/3,0,0,,0,0,0,1,265,2016-10-30 16:04:30
263,JAG,WALRS,20586,,5:00,503500140,CX,3,0/3,0,0,,0,0,0,1,265,2016-10-30 16:04:30
264,JAG,WALRS,20586,,5:00,503500137,CX,3,0/3,0,0,,0,0,0,1,265,2016-10-30 16:04:30
265,JAG,WALRS,20586,,5:00,503500139,CX,2,0/2,0,0,,0,0,0,1,265,2016-10-30 16:04:30
266,JAG,WALPR,20585,,5:00,503500138,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
267,JAG,WALPR,20585,,5:00,503500141,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
268,JAG,WALPR,20585,,5:00,503500142,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
269,JAG,WALPR,20585,,5:00,503500136,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
270,JAG,WALPR,20585,,5:00,503500140,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
271,JAG,WALPR,20585,,5:00,503500137,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
272,JAG,WALPR,20585,,5:00,503500139,CX,1,0/1,0,0,,0,0,0,1,272,2016-10-30 16:04:30
273,JAG,SBWRB,20593,,21:00,563700001,CX,6,0/6,0,0,,0,0,0,1,274,2016-10-30 16:04:30
274,JAG,SBWRB,20593,,21:00,563700002,CX,20,0/20,0,0,,0,0,0,1,274,2016-10-30 16:04:30
275,JAG,FFJDI,20587,,16:00,503500063,CX,32,0/32,0,0,,0,0,0,1,279,2016-10-30 16:04:30
276,JAG,FFJDI,20587,,16:00,503500064,CX,28,0/28,0,0,,0,0,0,1,279,2016-10-30 16:04:30
277,JAG,FFJDI,20587,,16:00,503500065,CX,12,0/12,0,0,,0,0,0,1,279,2016-10-30 16:04:30
278,JAG,FFJDI,20587,,16:00,503500028,CX,20,0/20,0,0,,0,0,0,1,279,2016-10-30 16:04:30
279,JAG,FFJDI,20587,,16:00,503500023,CX,12,0/12,0,0,,0,0,0,1,279,2016-10-30 16:04:30
